GID,LBL,VAL
나나7775,"9.00",9.0000000000
나나7776,"41.00",41.0000000000
나나7777,"146.00",146.0000000000
나나7778,"94.00",94.0000000000
나나7779,"568.00",568.0000000000
나나7780,"554.00",554.0000000000
나나7781,"8.00",8.0000000000
나나7782,"22.00",22.0000000000
나나7783,"288.00",288.0000000000
나나7784,"415.00",415.0000000000
나나7785,"494.00",494.0000000000
나나7786,"12.00",12.0000000000
나나7873,"2.00",2.0000000000
나나7874,"59.00",59.0000000000
나나7875,"139.00",139.0000000000
나나7876,"399.00",399.0000000000
나나7877,"145.00",145.0000000000
나나7878,,0.0000000000
나나7879,"275.00",275.0000000000
나나7880,"17.00",17.0000000000
나나7881,,0.0000000000
나나7882,"9.00",9.0000000000
나나7883,"192.00",192.0000000000
나나7884,"83.00",83.0000000000
나나7885,"57.00",57.0000000000
나나7886,"226.00",226.0000000000
나나7973,"21.00",21.0000000000
나나7974,"240.00",240.0000000000
나나7975,"137.00",137.0000000000
나나7976,"162.00",162.0000000000
나나7977,,0.0000000000
나나7978,"7.00",7.0000000000
나나7979,"62.00",62.0000000000
나나7980,"2.00",2.0000000000
나나7981,"24.00",24.0000000000
나나7982,"11.00",11.0000000000
나나7983,"59.00",59.0000000000
나나7984,"55.00",55.0000000000
나나7985,"86.00",86.0000000000
나나7986,"338.00",338.0000000000
나나7987,"3.00",3.0000000000
나나8072,,0.0000000000
나나8073,"58.00",58.0000000000
나나8074,"50.00",50.0000000000
나나8075,"102.00",102.0000000000
나나8076,"6.00",6.0000000000
나나8077,"4.00",4.0000000000
나나8078,"73.00",73.0000000000
나나8079,"70.00",70.0000000000
나나8080,"33.00",33.0000000000
나나8081,"12.00",12.0000000000
나나8082,"25.00",25.0000000000
나나8083,"31.00",31.0000000000
나나8084,"67.00",67.0000000000
나나8085,"5.00",5.0000000000
나나8086,"1.00",1.0000000000
나나8087,"256.00",256.0000000000
나나8088,"90.00",90.0000000000
나나8172,"106.00",106.0000000000
나나8173,"304.00",304.0000000000
나나8174,"22.00",22.0000000000
나나8175,"5.00",5.0000000000
나나8176,"103.00",103.0000000000
나나8177,"219.00",219.0000000000
나나8178,"72.00",72.0000000000
나나8179,"17.00",17.0000000000
나나8180,"31.00",31.0000000000
나나8181,"42.00",42.0000000000
나나8182,"256.00",256.0000000000
나나8183,"362.00",362.0000000000
나나8184,"128.00",128.0000000000
나나8185,"15.00",15.0000000000
나나8186,"10.00",10.0000000000
나나8187,"13.00",13.0000000000
나나8188,"147.00",147.0000000000
나나8189,"632.00",632.0000000000
나나8191,"142.00",142.0000000000
나나8270,"2.00",2.0000000000
나나8271,"379.00",379.0000000000
나나8272,"207.00",207.0000000000
나나8273,"116.00",116.0000000000
나나8274,"90.00",90.0000000000
나나8275,"13.00",13.0000000000
나나8276,"88.00",88.0000000000
나나8277,"2.00",2.0000000000
나나8278,"188.00",188.0000000000
나나8279,"22.00",22.0000000000
나나8280,"127.00",127.0000000000
나나8281,"82.00",82.0000000000
나나8282,"18.00",18.0000000000
나나8283,"227.00",227.0000000000
나나8284,"1.00",1.0000000000
나나8285,"8.00",8.0000000000
나나8286,"19.00",19.0000000000
나나8287,"3.00",3.0000000000
나나8288,"254.00",254.0000000000
나나8289,"297.00",297.0000000000
